Lokace,Velikost,Metry2,Cena,Služby
Praha,3+1,83 ,24500,4000
Praha,2+kk,66 ,19000,4000
Praha,1+kk,45 ,30000,10000
Ústecký kraj,2+kk,0 ,22500,7500
Praha,1+1,39 ,12500,4200
Praha,4+kk,111 ,30000,5000
Královéhradecký kraj,1+kk,31 ,7000,1700
Praha,1+kk,35 ,13000,2000
Praha,3+1,74 ,23000,2000
Praha,Garsoniéra,20 ,10000,490
Praha,Garsoniéra,22 ,10500,2000
Jihomoravský kraj,2+kk,48 ,14500,4000
Jihomoravský kraj,1+kk,39 ,11000,2500
Praha,2+kk,45 ,34500,11500
Liberecký kraj,1+kk,45 ,24000,8000
Plzeňský kraj,3+kk,55 ,13000,3500
Zlínský kraj,3+1,58 ,11000,4500
Pardubický kraj,4+1,86 ,4300,0
Plzeňský kraj,2+kk,36 ,9400,2500
Praha,1+1,46 ,16500,0
Praha,3+kk,77 ,25500,5000
Praha,2+1,55 ,18000,6000
Praha,2+kk,49 ,16500,5500
Praha,2+kk,50 ,15500,3500
Středočeský kraj,2+kk,40 ,7500,5500
Moravskoslezský kraj,2+kk,40 ,7970,0
Moravskoslezský kraj,2+1,52 ,8600,0
Jihočeský kraj,3+1,134 ,5000,3000
Ústecký kraj,3+1,79 ,10000,1500
Moravskoslezský kraj,1+1,25 ,4870,0
Moravskoslezský kraj,2+kk,74 ,9290,0
Moravskoslezský kraj,1+1,45 ,6470,0
Jihomoravský kraj,2+kk,30 ,11000,4000
Praha,3+kk,80 ,11999,1
Moravskoslezský kraj,3+1,67 ,12250,0
Moravskoslezský kraj,2+1,48 ,8470,0
Moravskoslezský kraj,2+1,68 ,8020,0
kraj Vysočina,3+1,83 ,14800,4500
Moravskoslezský kraj,2+1,50 ,10800,3800
Plzeňský kraj,1+1,38 ,10000,2500
Praha,3+kk,66 ,21000,5500
Jihomoravský kraj,2+1,67 ,16500,3000
Jihočeský kraj,2+1,49 ,11500,3900
Praha,2+1,61 ,19900,5000
Praha,2+1,45 ,15500,2000
Jihomoravský kraj,2+kk,80 ,14500,1
Jihomoravský kraj,3+kk,75 ,20000,6303
Praha,2+kk,45 ,14500,3000
Středočeský kraj,5+kk,120 ,30000,6000
Moravskoslezský kraj,3+1,78 ,11300,0
Praha,3+1,85 ,20000,5000
Moravskoslezský kraj,1+kk,22 ,5660,0
Středočeský kraj,1+kk,25 ,10500,2000
Středočeský kraj,3+1,80 ,16300,2700
Středočeský kraj,2+kk,47 ,14500,4000
Praha,2+1,67 ,22500,5500
Moravskoslezský kraj,2+1,53 ,7050,0
Moravskoslezský kraj,3+1,67 ,9570,0
Moravskoslezský kraj,2+1,48 ,8640,0
Moravskoslezský kraj,3+1,67 ,8050,0
Moravskoslezský kraj,3+1,67 ,8300,0
Moravskoslezský kraj,4+1,71 ,8850,0
Moravskoslezský kraj,2+1,53 ,6550,0
Moravskoslezský kraj,3+1,67 ,6350,0
Moravskoslezský kraj,2+1,55 ,6970,0
Moravskoslezský kraj,3+1,74 ,11770,0
Moravskoslezský kraj,2+1,54 ,6600,0
Moravskoslezský kraj,3+1,67 ,8370,0
Jihomoravský kraj,1+kk,30 ,10000,3350
Pardubický kraj,2+1,70 ,12500,3000
Liberecký kraj,3+kk,78 ,15000,4000
Praha,3+1,135 ,38000,4000
Středočeský kraj,2+kk,51 ,10000,4500
Praha,1+kk,38 ,17000,5000
Středočeský kraj,2+1,64 ,11000,4000
Jihomoravský kraj,3+kk,135 ,25000,5000
Zlínský kraj,2+kk,54 ,12000,3500
Moravskoslezský kraj,2+kk,54 ,12500,1500
Praha,3+kk,92 ,27000,7000
Plzeňský kraj,2+kk,58 ,12000,4500
Praha,2+kk,70 ,18000,5000
Praha,2+kk,52 ,23000,3869
Jihočeský kraj,2+1,46 ,9544,3500
Zlínský kraj,3+1,80 ,11000,4000
Středočeský kraj,2+1,60 ,14000,3900
Praha,2+kk,57 ,22000,5500
Praha,2+kk,54 ,16500,4500
Praha,1+1,43 ,16700,3000
Praha,2+kk,52 ,16000,0
Praha,2+kk,42 ,18500,4500
Praha,2+kk,55 ,18000,3500
Praha,1+kk,38 ,16400,2500
Praha,2+kk,72 ,20000,3900
Praha,2+1,52 ,45000,5000
Královéhradecký kraj,1+1,30 ,8500,2500
Praha,2+1,51 ,17000,7500
Praha,1+kk,32 ,14990,2245
Praha,1+kk,36 ,13000,2700
Jihomoravský kraj,1+kk,28 ,8000,4500
Jihomoravský kraj,3+kk,75 ,15500,0
Královéhradecký kraj,1+kk,32 ,11000,2500
Praha,4+kk,75 ,7880,0
Olomoucký kraj,2+kk,68 ,11000,4000
Praha,2+kk,60 ,19000,4500
Praha,1+kk,34 ,13800,4800
Praha,2+kk,55 ,18500,7500
Praha,3+kk,70 ,20000,7000
Pardubický kraj,2+1,50 ,12000,3000
Praha,1+kk,32 ,16000,2500
Jihočeský kraj,1+1,40 ,10000,4000
Plzeňský kraj,1+kk,35 ,7500,4000
Praha,2+kk,45 ,17000,0
Praha,2+kk,43 ,10500,4590
Praha,2+kk,50 ,18000,3805
Jihomoravský kraj,1+1,46 ,8000,5000
Praha,2+1,36 ,20000,4000
Moravskoslezský kraj,2+kk,43 ,8900,0
Praha,2+kk,44 ,16490,1171
Jihomoravský kraj,1+1,40 ,12000,300
Praha,2+kk,56 ,19000,1500
Praha,5+kk,162 ,50000,10610
Praha,1+kk,33 ,13000,3000
Praha,1+kk,33 ,11000,3677
Praha,2+kk,50 ,20000,3750
Jihomoravský kraj,2+kk,42 ,16000,3500
Praha,Garsoniéra,30 ,12000,4000
Praha,1+kk,39 ,14900,3000
Praha,2+kk,73 ,16500,5200
Praha,3+kk,55 ,16990,4517
Praha,2+kk,46 ,14000,3500
Praha,1+kk,40 ,12990,2312
Praha,1+kk,40 ,12990,2312
Praha,1+kk,40 ,11000,3000
Praha,2+kk,43 ,11200,3800
Praha,Garsoniéra,27 ,12000,2000
Praha,1+kk,25 ,16500,133
Středočeský kraj,1+1,44 ,8500,3500
Královéhradecký kraj,2+1,69 ,6000,4500
Olomoucký kraj,2+1,42 ,8700,4500
Praha,1+kk,30 ,16500,133
Praha,3+1,80 ,20000,5000
Jihomoravský kraj,4+1,84 ,21000,7000
Praha,3+1,108 ,17000,6500
Olomoucký kraj,1+1,52 ,8000,2000
Ústecký kraj,4+kk,93 ,25000,3000
Jihomoravský kraj,3+1,68 ,16000,5000
Praha,1+kk,27 ,12000,2000
Středočeský kraj,1+1,30 ,8000,4522
Praha,2+kk,46 ,16900,3000
Středočeský kraj,2+kk,40 ,14000,3792
Moravskoslezský kraj,1+kk,35 ,7300,1800
Praha,Garsoniéra,26 ,10000,0
Plzeňský kraj,Garsoniéra,29 ,7200,1200
Karlovarský kraj,2+1,54 ,8000,4200
Praha,3+kk,88 ,30000,5000
Praha,2+kk,43 ,18000,3000
Praha,3+1,76 ,24000,3000
Karlovarský kraj,1+1,38 ,9800,0
Praha,1+1,40 ,12000,3000
Praha,2+kk,56 ,19500,4000
Středočeský kraj,1+1,40 ,9000,2000
Jihomoravský kraj,3+1,75 ,19200,4800
Praha,2+kk,43 ,24500,4000
Praha,3+1,65 ,18000,5500
Moravskoslezský kraj,4+1,78 ,13000,0
Středočeský kraj,1+1,37 ,6500,0
Jihomoravský kraj,2+1,55 ,14500,4500
Ústecký kraj,2+kk,64 ,15000,2000
Praha,2+1,75 ,18500,0
Plzeňský kraj,1+kk,30 ,7000,1500
Jihomoravský kraj,2+1,65 ,14000,6000
Jihočeský kraj,3+1,79 ,12000,2000
Liberecký kraj,2+1,57 ,11000,5000
Jihomoravský kraj,2+kk,51 ,15000,3000
Moravskoslezský kraj,2+1,47 ,7330,0
Moravskoslezský kraj,3+1,76 ,11580,0
Moravskoslezský kraj,4+1,103 ,9790,0
Moravskoslezský kraj,2+1,58 ,9040,0
Moravskoslezský kraj,1+1,28 ,5160,0
Moravskoslezský kraj,3+1,90 ,10470,0
Moravskoslezský kraj,2+1,55 ,5540,0
Moravskoslezský kraj,3+1,73 ,8500,0
Moravskoslezský kraj,2+1,67 ,7350,0
Moravskoslezský kraj,2+1,59 ,7070,0
Moravskoslezský kraj,3+1,69 ,10450,0
Moravskoslezský kraj,1+1,36 ,7950,0
Moravskoslezský kraj,1+1,27 ,5500,0
Moravskoslezský kraj,1+1,27 ,3350,0
Praha,2+kk,60 ,22000,4000
Jihomoravský kraj,2+1,75 ,4700,3200
Plzeňský kraj,1+kk,41 ,9000,3000
Praha,3+kk,70 ,32000,4500
Moravskoslezský kraj,3+1,81 ,9120,0
Praha,4+1,10 ,4500,2500
Jihomoravský kraj,1+1,35 ,11000,3500
Moravskoslezský kraj,1+kk,44 ,13000,3000
Jihočeský kraj,2+1,60 ,12000,4200
Praha,6+kk,150 ,8000,1000
Královéhradecký kraj,2+1,56 ,10100,3900
Praha,2+kk,45 ,21000,3000
Ústecký kraj,2+kk,49 ,10000,5000
Zlínský kraj,3+kk,66 ,12500,2500
Moravskoslezský kraj,1+kk,30 ,5000,0
Praha,3+kk,60 ,20000,8000
Jihomoravský kraj,4+kk,89 ,21000,4000
Středočeský kraj,2+kk,63 ,20000,4650
Středočeský kraj,2+kk,45 ,15500,0
Praha,1+kk,26 ,12500,1500
Karlovarský kraj,2+1,84 ,12000,4100
Praha,1+1,48 ,14500,3000
Praha,2+kk,47 ,15000,1000
Praha,3+1,89 ,31000,6000
Praha,2+kk,45 ,19500,5000
Praha,1+kk,33 ,15499,1500
Plzeňský kraj,1+1,40 ,8300,2700
Středočeský kraj,1+kk,31 ,12000,3500
Moravskoslezský kraj,1+1,36 ,6000,3000
Jihomoravský kraj,1+1,32 ,12000,2000
Praha,4+1,145 ,46000,10000
Pardubický kraj,2+kk,55 ,15990,2500
Moravskoslezský kraj,2+1,52 ,10560,0
Praha,3+kk,70 ,20990,4649
Praha,Garsoniéra,20 ,6000,3000
Středočeský kraj,2+1,91 ,18000,4500
Pardubický kraj,4+1,40 ,2000,1500
Moravskoslezský kraj,Garsoniéra,24 ,8000,3000
Praha,1+1,42 ,18499,2900
Moravskoslezský kraj,2+1,45 ,8500,1000
Praha,3+1,99 ,26500,3000
Praha,1+1,33 ,12490,2637
Praha,2+kk,54 ,18000,4500
Praha,2+1,73 ,1,2000
Zlínský kraj,2+kk,67 ,10400,6600
Pardubický kraj,1+kk,36 ,8000,2000
Praha,4+1,90 ,28000,3904
Ústecký kraj,2+1,60 ,8900,4600
Královéhradecký kraj,2+kk,55 ,12000,0
Moravskoslezský kraj,1+kk,37 ,5900,0
Praha,2+1,53 ,16500,3000
Liberecký kraj,1+kk,27 ,7500,3500
Praha,1+kk,56 ,20000,8733
Jihomoravský kraj,3+kk,92 ,25000,1800
Středočeský kraj,2+1,54 ,14000,5043
Praha,2+kk,65 ,19000,4000
Jihomoravský kraj,1+kk,40 ,17000,3500
Jihomoravský kraj,3+kk,73 ,25000,3000
Praha,2+kk,50 ,23000,2256
Jihomoravský kraj,3+1,60 ,18000,4000
Moravskoslezský kraj,3+kk,107 ,14900,0
Středočeský kraj,2+kk,38 ,12000,2000
Praha,2+kk,38 ,10500,1000
Moravskoslezský kraj,1+1,40 ,6000,3000
Plzeňský kraj,3+kk,80 ,11000,4000
Středočeský kraj,3+kk,100 ,14000,4000
Praha,2+kk,56 ,18500,3296
Praha,1+kk,28 ,13500,2500
Olomoucký kraj,3+1,74 ,13000,3950
Praha,2+1,53 ,20000,6000
Liberecký kraj,1+1,39 ,8400,2000
Jihomoravský kraj,2+kk,63 ,17000,4000
Středočeský kraj,3+kk,70 ,10000,4500
Karlovarský kraj,4+1,185 ,25000,7000
Středočeský kraj,1+1,41 ,9990,3060
Praha,2+kk,50 ,18500,3500
Moravskoslezský kraj,2+1,60 ,9400,0
Moravskoslezský kraj,2+1,63 ,8350,0
Moravskoslezský kraj,2+1,58 ,9670,0
Moravskoslezský kraj,1+kk,29 ,6060,0
Moravskoslezský kraj,2+1,55 ,8320,0
Moravskoslezský kraj,2+1,49 ,8580,0
Moravskoslezský kraj,2+1,54 ,5670,0
Moravskoslezský kraj,2+1,61 ,7430,0
Moravskoslezský kraj,2+kk,54 ,4820,0
Moravskoslezský kraj,1+1,39 ,4270,0
Moravskoslezský kraj,2+kk,39 ,5900,0
Moravskoslezský kraj,2+1,52 ,7050,0
Moravskoslezský kraj,3+1,61 ,12750,0
Moravskoslezský kraj,1+kk,29 ,7160,0
Moravskoslezský kraj,1+1,34 ,6350,0
Moravskoslezský kraj,3+1,62 ,8200,0
Moravskoslezský kraj,2+1,56 ,9590,0
Moravskoslezský kraj,3+1,69 ,8970,0
Plzeňský kraj,1+1,43 ,12000,3200
Praha,3+kk,48 ,17000,3253
Plzeňský kraj,1+kk,47 ,10900,2000
Praha,1+kk,39 ,16000,4000
Ústecký kraj,2+kk,47 ,7200,2200
Moravskoslezský kraj,2+1,54 ,8420,0
Moravskoslezský kraj,1+1,35 ,8130,0
Moravskoslezský kraj,2+1,53 ,7170,0
Moravskoslezský kraj,2+1,77 ,8180,0
Jihomoravský kraj,2+1,53 ,13000,4000
Praha,1+kk,37 ,15000,3500
Praha,2+kk,66 ,20000,3000
Královéhradecký kraj,2+kk,67 ,12000,2850
Praha,2+kk,46 ,17500,1000
Praha,2+kk,39 ,14000,3000
Praha,3+kk,84 ,21000,4000
Praha,3+1,70 ,17000,5500
Praha,4+kk,75 ,25000,5000
Středočeský kraj,3+1,83 ,10000,3000
Praha,Garsoniéra,23 ,9800,600
Praha,1+kk,38 ,16400,2919
Praha,1+1,46 ,25000,7000
Praha,2+1,75 ,40000,7000
Jihomoravský kraj,1+kk,27 ,12000,3000
Praha,1+1,33 ,13000,2000
Praha,2+1,50 ,17000,4000
Praha,1+1,47 ,12000,2950
Praha,2+kk,55 ,17900,3000
Moravskoslezský kraj,1+1,40 ,8100,300
Praha,1+1,32 ,14000,2880
Praha,3+kk,69 ,25000,3000
Praha,2+kk,45 ,14000,3500
Plzeňský kraj,3+kk,65 ,6500,0
Moravskoslezský kraj,2+1,46 ,13000,0
Moravskoslezský kraj,1+kk,27 ,5710,0
Moravskoslezský kraj,2+kk,38 ,5720,0
Moravskoslezský kraj,3+1,82 ,12390,0
Moravskoslezský kraj,2+1,59 ,7120,0
Moravskoslezský kraj,2+1,51 ,10370,0
Moravskoslezský kraj,4+1,89 ,10070,0
Moravskoslezský kraj,1+1,27 ,4970,0
Moravskoslezský kraj,2+1,61 ,8310,0
Moravskoslezský kraj,2+1,57 ,8470,0
Moravskoslezský kraj,2+1,47 ,10550,0
Moravskoslezský kraj,1+1,39 ,9290,0
Moravskoslezský kraj,3+1,67 ,12020,0
Moravskoslezský kraj,2+kk,46 ,12900,0
Moravskoslezský kraj,2+kk,48 ,12400,0
Moravskoslezský kraj,1+1,26 ,5540,0
Moravskoslezský kraj,1+kk,35 ,10500,0
Moravskoslezský kraj,1+kk,24 ,5590,0
Moravskoslezský kraj,2+1,49 ,8400,0
Moravskoslezský kraj,3+1,72 ,10320,0
Moravskoslezský kraj,3+1,81 ,11590,0
Moravskoslezský kraj,3+1,60 ,6070,0
Moravskoslezský kraj,1+kk,24 ,4770,0
Moravskoslezský kraj,2+1,47 ,7670,0
Moravskoslezský kraj,1+1,35 ,7600,0
Moravskoslezský kraj,2+1,55 ,6000,0
Moravskoslezský kraj,2+1,57 ,6140,0
Moravskoslezský kraj,1+1,37 ,6680,0
Moravskoslezský kraj,1+1,38 ,7700,0
Moravskoslezský kraj,1+kk,21 ,4400,0
Moravskoslezský kraj,1+kk,25 ,4660,0
Moravskoslezský kraj,1+1,37 ,7800,0
Moravskoslezský kraj,3+1,73 ,8780,0
Moravskoslezský kraj,2+1,60 ,7120,0
Moravskoslezský kraj,4+1,92 ,13820,0
Moravskoslezský kraj,2+1,56 ,10830,0
Moravskoslezský kraj,2+1,47 ,4460,0
Moravskoslezský kraj,2+1,52 ,6630,0
Moravskoslezský kraj,2+kk,53 ,11800,0
Moravskoslezský kraj,2+1,54 ,7420,0
Moravskoslezský kraj,2+kk,35 ,5400,0
Moravskoslezský kraj,1+1,39 ,7550,0
Moravskoslezský kraj,1+kk,27 ,4500,0
Moravskoslezský kraj,2+1,48 ,5300,0
Moravskoslezský kraj,3+1,80 ,10440,0
Moravskoslezský kraj,2+1,55 ,7730,0
Moravskoslezský kraj,1+1,26 ,3300,0
Moravskoslezský kraj,1+1,38 ,6370,0
Moravskoslezský kraj,2+1,52 ,6000,0
Moravskoslezský kraj,2+1,56 ,9830,0
Moravskoslezský kraj,2+1,59 ,5900,0
Moravskoslezský kraj,2+1,76 ,11390,0
Moravskoslezský kraj,3+1,69 ,6400,0
Moravskoslezský kraj,2+1,53 ,7390,0
Moravskoslezský kraj,2+1,51 ,6470,0
Moravskoslezský kraj,2+1,50 ,4780,0
Moravskoslezský kraj,1+1,37 ,6470,0
Moravskoslezský kraj,3+1,73 ,8750,0
Moravskoslezský kraj,2+1,49 ,5000,0
Moravskoslezský kraj,2+kk,59 ,8840,0
Moravskoslezský kraj,1+1,38 ,6420,0
Moravskoslezský kraj,1+1,35 ,7470,0
Moravskoslezský kraj,3+1,78 ,9330,0
Moravskoslezský kraj,2+1,48 ,7290,0
Moravskoslezský kraj,1+1,37 ,8900,0
Moravskoslezský kraj,1+kk,29 ,6970,0
Moravskoslezský kraj,3+1,60 ,7500,0
Plzeňský kraj,2+kk,48 ,10220,5280
Moravskoslezský kraj,3+1,61 ,7250,0
Moravskoslezský kraj,2+1,48 ,8530,0
Moravskoslezský kraj,2+1,59 ,9950,0
Moravskoslezský kraj,2+1,49 ,7290,0
Moravskoslezský kraj,2+1,58 ,9450,0
Moravskoslezský kraj,2+1,58 ,9850,0
Moravskoslezský kraj,2+kk,61 ,10860,0
Moravskoslezský kraj,2+1,48 ,6880,0
Moravskoslezský kraj,2+1,58 ,5370,0
Moravskoslezský kraj,2+kk,54 ,10510,0
Moravskoslezský kraj,2+1,59 ,7720,0
Moravskoslezský kraj,3+1,70 ,7380,0
Moravskoslezský kraj,2+1,53 ,8000,0
Moravskoslezský kraj,2+1,55 ,6670,0
Moravskoslezský kraj,2+1,49 ,8770,0
Moravskoslezský kraj,2+1,53 ,7030,0
Moravskoslezský kraj,3+1,64 ,12340,0
Moravskoslezský kraj,1+1,30 ,4010,0
Moravskoslezský kraj,2+1,55 ,5740,0
Moravskoslezský kraj,2+1,62 ,5750,0
Moravskoslezský kraj,2+1,58 ,9630,0
Moravskoslezský kraj,2+1,60 ,6750,0
Moravskoslezský kraj,2+1,53 ,5600,0
Moravskoslezský kraj,2+1,59 ,5550,0
Moravskoslezský kraj,2+1,61 ,9520,0
Moravskoslezský kraj,2+1,50 ,10820,0
Moravskoslezský kraj,2+1,51 ,10050,0
Moravskoslezský kraj,2+1,56 ,8660,0
Moravskoslezský kraj,2+1,59 ,5800,0
Moravskoslezský kraj,1+1,35 ,6150,0
Moravskoslezský kraj,2+1,50 ,6970,0
Moravskoslezský kraj,1+kk,20 ,3600,0
Moravskoslezský kraj,2+1,51 ,9450,0
Moravskoslezský kraj,3+1,81 ,10100,0
Moravskoslezský kraj,3+1,69 ,7770,0
Moravskoslezský kraj,1+1,30 ,6600,0
Liberecký kraj,3+kk,81 ,8500,4500
Moravskoslezský kraj,2+1,61 ,8250,0
Moravskoslezský kraj,2+1,61 ,8750,0
Moravskoslezský kraj,2+1,53 ,6700,0
Moravskoslezský kraj,2+1,55 ,7150,0
Moravskoslezský kraj,3+1,69 ,6270,0
Moravskoslezský kraj,2+1,55 ,7080,0
Moravskoslezský kraj,2+kk,47 ,8070,0
Moravskoslezský kraj,3+1,72 ,10070,0
Moravskoslezský kraj,2+1,62 ,7400,0
Moravskoslezský kraj,1+kk,27 ,5740,0
Moravskoslezský kraj,2+1,57 ,10000,0
Moravskoslezský kraj,1+kk,28 ,6020,0
Moravskoslezský kraj,2+1,54 ,8850,0
Moravskoslezský kraj,1+1,37 ,6200,0
Moravskoslezský kraj,3+1,68 ,6650,0
Moravskoslezský kraj,2+1,59 ,9610,0
Moravskoslezský kraj,1+1,37 ,6470,0
Moravskoslezský kraj,2+1,50 ,6270,0
Moravskoslezský kraj,3+1,72 ,6400,0
Moravskoslezský kraj,2+1,55 ,9400,0
Moravskoslezský kraj,1+kk,28 ,6680,0
Moravskoslezský kraj,2+1,57 ,9810,0
Moravskoslezský kraj,3+1,77 ,8850,0
Moravskoslezský kraj,2+1,60 ,6520,0
Moravskoslezský kraj,2+kk,43 ,8180,0
Moravskoslezský kraj,3+1,60 ,7800,0
Moravskoslezský kraj,1+1,27 ,7080,0
Moravskoslezský kraj,3+kk,78 ,10070,0
Moravskoslezský kraj,2+1,46 ,4650,0
Praha,Garsoniéra,20 ,8000,3700
Moravskoslezský kraj,2+1,51 ,7250,0
Moravskoslezský kraj,2+1,60 ,8380,0
Moravskoslezský kraj,2+1,56 ,6370,0
Moravskoslezský kraj,2+1,60 ,9240,0
Moravskoslezský kraj,4+1,84 ,8990,0
Moravskoslezský kraj,2+1,49 ,7080,0
Moravskoslezský kraj,3+1,66 ,9450,0
Moravskoslezský kraj,2+1,56 ,6730,0
Moravskoslezský kraj,2+1,48 ,6000,0
Moravskoslezský kraj,3+1,66 ,9850,0
Moravskoslezský kraj,2+1,58 ,8720,0
Moravskoslezský kraj,2+1,50 ,4770,0
Moravskoslezský kraj,2+1,61 ,8300,0
Moravskoslezský kraj,2+1,55 ,8840,0
Moravskoslezský kraj,3+1,71 ,9250,0
Moravskoslezský kraj,4+1,83 ,8450,0
Moravskoslezský kraj,2+kk,46 ,8200,0
Moravskoslezský kraj,1+kk,33 ,6300,0
Moravskoslezský kraj,3+1,63 ,7970,0
Moravskoslezský kraj,2+1,56 ,6600,0
Moravskoslezský kraj,2+1,57 ,8600,0
Moravskoslezský kraj,2+1,55 ,8150,0
Moravskoslezský kraj,1+kk,27 ,4450,0
Moravskoslezský kraj,2+1,52 ,6630,0
Moravskoslezský kraj,2+kk,38 ,5400,0
Moravskoslezský kraj,3+1,72 ,6420,0
Moravskoslezský kraj,3+1,67 ,7570,0
Moravskoslezský kraj,2+1,59 ,9120,0
Moravskoslezský kraj,3+1,59 ,7750,0
Moravskoslezský kraj,3+1,74 ,8200,0
Moravskoslezský kraj,1+1,36 ,6100,0
Moravskoslezský kraj,1+1,39 ,7340,0
Moravskoslezský kraj,3+1,67 ,7870,0
Moravskoslezský kraj,1+kk,28 ,6020,0
Moravskoslezský kraj,3+1,76 ,6220,0
Moravskoslezský kraj,2+1,47 ,7870,0
Moravskoslezský kraj,1+1,35 ,7120,0
Moravskoslezský kraj,3+1,68 ,9440,0
Moravskoslezský kraj,3+1,65 ,8300,0
Moravskoslezský kraj,3+1,72 ,10970,0
Moravskoslezský kraj,2+1,49 ,5650,0
Moravskoslezský kraj,2+1,50 ,8470,0
Moravskoslezský kraj,4+1,84 ,8790,0
Moravskoslezský kraj,2+1,52 ,5920,0
Moravskoslezský kraj,3+kk,69 ,7940,0
Moravskoslezský kraj,2+1,47 ,8440,0
Moravskoslezský kraj,2+1,52 ,9270,0
Moravskoslezský kraj,2+kk,59 ,13700,0
Moravskoslezský kraj,2+kk,51 ,12500,0
Moravskoslezský kraj,2+kk,40 ,7920,0
Moravskoslezský kraj,2+1,56 ,7920,0
Moravskoslezský kraj,3+1,71 ,10450,0
Moravskoslezský kraj,1+kk,30 ,5540,0
Moravskoslezský kraj,3+1,65 ,10450,0
Moravskoslezský kraj,2+1,56 ,7320,0
Moravskoslezský kraj,3+1,67 ,8270,0
Moravskoslezský kraj,2+1,52 ,7010,0
Moravskoslezský kraj,2+1,53 ,8600,0
Moravskoslezský kraj,3+1,61 ,12750,0
Praha,1+1,28 ,13500,1000
Moravskoslezský kraj,2+kk,45 ,5580,0
Moravskoslezský kraj,2+1,48 ,5150,0
Moravskoslezský kraj,3+1,74 ,8690,0
Moravskoslezský kraj,2+1,54 ,5800,0
Moravskoslezský kraj,2+1,54 ,6200,0
Moravskoslezský kraj,2+1,53 ,6850,0
Moravskoslezský kraj,2+1,54 ,6550,0
Moravskoslezský kraj,1+1,33 ,5850,0
Moravskoslezský kraj,2+1,52 ,6660,0
Moravskoslezský kraj,2+1,58 ,7380,0
Moravskoslezský kraj,2+1,61 ,5970,0
Moravskoslezský kraj,1+kk,28 ,5100,0
Moravskoslezský kraj,1+kk,19 ,4050,0
Moravskoslezský kraj,1+1,36 ,7150,0
Moravskoslezský kraj,2+1,53 ,6820,0
Moravskoslezský kraj,1+kk,29 ,4720,0
Moravskoslezský kraj,1+1,29 ,4500,0
Moravskoslezský kraj,3+1,69 ,8400,0
Moravskoslezský kraj,1+kk,27 ,4070,0
Moravskoslezský kraj,2+1,67 ,5670,0
Moravskoslezský kraj,3+1,66 ,7170,0
Moravskoslezský kraj,2+1,53 ,6800,0
Moravskoslezský kraj,2+kk,44 ,8800,0
Moravskoslezský kraj,2+1,53 ,6400,0
Moravskoslezský kraj,2+1,49 ,6950,0
Moravskoslezský kraj,1+kk,40 ,7470,0
Moravskoslezský kraj,2+1,78 ,8450,0
Moravskoslezský kraj,1+1,29 ,6290,0
Moravskoslezský kraj,2+1,58 ,9850,0
Moravskoslezský kraj,1+1,36 ,7470,0
Moravskoslezský kraj,2+1,55 ,8510,0
Moravskoslezský kraj,2+1,47 ,8050,0
Moravskoslezský kraj,3+1,68 ,6770,0
Moravskoslezský kraj,1+1,28 ,4050,0
Moravskoslezský kraj,2+1,47 ,7020,0
Moravskoslezský kraj,2+1,60 ,10250,0
Moravskoslezský kraj,2+1,54 ,6270,0
Moravskoslezský kraj,2+kk,38 ,8400,0
Moravskoslezský kraj,1+kk,35 ,5770,0
Moravskoslezský kraj,2+1,53 ,6500,0
Moravskoslezský kraj,1+1,42 ,4620,0
Moravskoslezský kraj,1+1,42 ,7160,0
Moravskoslezský kraj,3+1,73 ,10490,0
Moravskoslezský kraj,1+kk,28 ,3980,0
Moravskoslezský kraj,2+1,56 ,5620,0
Moravskoslezský kraj,3+1,62 ,8000,0
Moravskoslezský kraj,1+kk,29 ,6900,1000
Moravskoslezský kraj,1+1,46 ,5520,0
Moravskoslezský kraj,2+kk,45 ,5580,0
Moravskoslezský kraj,2+1,50 ,7670,0
Praha,2+1,99 ,28000,1860
Moravskoslezský kraj,2+1,58 ,8300,0
Moravskoslezský kraj,2+1,53 ,6570,0
Moravskoslezský kraj,2+1,64 ,6300,0
Moravskoslezský kraj,3+1,69 ,6500,0
Moravskoslezský kraj,2+1,47 ,5450,0
Moravskoslezský kraj,2+1,50 ,6970,0
Moravskoslezský kraj,2+1,51 ,6790,0
Moravskoslezský kraj,2+1,58 ,8470,0
Moravskoslezský kraj,2+1,56 ,6600,0
Moravskoslezský kraj,3+1,70 ,7300,0
Moravskoslezský kraj,2+1,49 ,5890,0
Moravskoslezský kraj,1+1,46 ,7700,0
Moravskoslezský kraj,2+1,54 ,6270,0
Moravskoslezský kraj,2+1,65 ,5990,0
Moravskoslezský kraj,1+kk,20 ,3500,0
Moravskoslezský kraj,3+1,66 ,7700,0
Moravskoslezský kraj,1+1,43 ,7070,0
Moravskoslezský kraj,2+1,51 ,6350,0
Moravskoslezský kraj,2+1,56 ,8420,0
Moravskoslezský kraj,1+1,38 ,7790,0
Moravskoslezský kraj,3+1,64 ,7980,0
Moravskoslezský kraj,2+1,72 ,8500,0
Moravskoslezský kraj,2+1,60 ,8200,0
Moravskoslezský kraj,2+1,45 ,12000,0
Moravskoslezský kraj,2+1,51 ,6300,0
Moravskoslezský kraj,2+1,53 ,6520,0
Moravskoslezský kraj,3+1,69 ,6680,0
Moravskoslezský kraj,2+1,53 ,6700,0
Moravskoslezský kraj,1+1,37 ,6320,0
Moravskoslezský kraj,1+1,33 ,5990,0
Moravskoslezský kraj,1+kk,29 ,5450,0
