Lokace,Velikost,Metry2,Cena,Služby
Středočeský kraj,1+1,38 ,11000,2500
Pardubický kraj,2+1,56 ,13000,3000
Středočeský kraj,2+1,75 ,17000,3500
Moravskoslezský kraj,2+1,68 ,12500,3000
Praha,1+kk,22 ,11500,2580
Praha,2+kk,54 ,15000,5000
Praha,1+kk,28 ,8900,3100
Jihomoravský kraj,1+kk,38 ,13000,2500
Středočeský kraj,3+1,88 ,13000,5571
Praha,2+kk,52 ,27000,9000
Moravskoslezský kraj,2+1,47 ,11000,4500
Praha,2+kk,55 ,18000,5000
Praha,1+1,47 ,11800,3700
Praha,2+kk,52 ,14700,0
Praha,2+kk,55 ,17500,1500
Praha,1+kk,42 ,15800,3280
Jihomoravský kraj,2+kk,37 ,14500,2500
Jihomoravský kraj,2+kk,42 ,14500,3000
Praha,Garsoniéra,32 ,12500,2500
Praha,2+kk,66 ,21500,3058
Středočeský kraj,2+kk,60 ,14000,7000
Praha,2+kk,65 ,17500,3500
Praha,3+1,100 ,27000,2000
Jihomoravský kraj,1+kk,30 ,9500,2500
Jihomoravský kraj,2+kk,45 ,13000,3500
Praha,2+1,50 ,16000,4000
Jihomoravský kraj,1+1,35 ,8900,3000
Středočeský kraj,1+kk,37 ,13000,2500
Praha,3+1,98 ,30000,5000
Středočeský kraj,2+kk,45 ,17500,4000
Ústecký kraj,2+kk,52 ,12000,2500
Jihomoravský kraj,2+1,55 ,12000,4000
Praha,1+kk,28 ,21019,7006
Plzeňský kraj,2+1,65 ,12000,3500
Královéhradecký kraj,2+kk,53 ,13500,3500
Praha,2+1,49 ,15000,4000
Ústecký kraj,3+1,85 ,7500,4000
Praha,2+kk,51 ,19500,4300
Moravskoslezský kraj,2+kk,50 ,12751,2334
Moravskoslezský kraj,3+1,78 ,6500,0
Praha,3+kk,90 ,43000,7000
Praha,2+kk,64 ,20500,5500
Moravskoslezský kraj,2+1,54 ,5800,0
Praha,2+kk,48 ,17000,2900
Moravskoslezský kraj,2+1,58 ,8550,0
Jihočeský kraj,2+1,58 ,9950,2700
Moravskoslezský kraj,2+1,65 ,15000,0
Moravskoslezský kraj,2+1,58 ,6650,0
Středočeský kraj,2+1,58 ,11900,4500
Praha,2+kk,58 ,19500,779
Praha,2+1,60 ,16000,3950
Moravskoslezský kraj,1+1,45 ,5850,0
Moravskoslezský kraj,2+1,48 ,6400,0
Moravskoslezský kraj,2+1,54 ,6570,0
Moravskoslezský kraj,2+1,53 ,6550,0
Moravskoslezský kraj,1+kk,29 ,4550,0
Praha,2+kk,43 ,14000,3600
