Brno - Ponava Jihomoravský kraj,2+kk,66 ,19000,3500
Praha - Horní Počernice,2+kk,63 ,20000,6000
Praha - Lhotka,3+1,70 ,17000,5000
Pod Stárkou Praha - Michle,1+1,42 ,15000,1000
Kladno Středočeský kraj,2+kk,42 ,6300,3000
Rebešovice Jihomoravský kraj,Garsoniéra,25 ,9500,1000
Na Nábřeží Havířov-město Moravskoslezský kraj,1+kk,34 ,5200,0
Praha - Chodov,3+1,63 ,8000,2500
Praha - Braník,2+1,64 ,17000,4800
Praha - Košíře,2+kk,43 ,14900,3500
Praha - Hodkovičky,1+kk,36 ,13500,3000
Praha - Vinohrady,1+kk,37 ,17000,2000
Freyova Praha - Vysočany,1+kk,25 ,21750,7250
Stroupežnického Praha - Smíchov,4+kk,90 ,59250,19750
Karoliny Světlé Praha - Staré Město,2+1,70 ,38040,12680
Pisárecká Brno - Pisárky Jihomoravský kraj,1+kk,23 ,20250,6750
Žerotínova Praha - Žižkov,2+1,60 ,16000,600
Slavíkova Ostrava - Poruba-sever Moravskoslezský kraj,1+1,40 ,8100,1800
Ruská 90 Praha - Vršovice,Garsoniéra,32 ,13000,2500
Fráni Šrámka České Budějovice 3 Jihočeský kraj,2+1,58 ,11000,2500
Na Výsluní Neratovice Středočeský kraj,2+1,57 ,11000,4000
Klapálkova Praha - Chodov,1+kk,30 ,12000,2000
Tursko Středočeský kraj,2+kk,60 ,15000,4500
Na Maninách Praha - Holešovice,2+kk,69 ,47340,15780
Třebechovická Hradec Králové - Slezské Předměstí Královéhradecký kraj,1+kk,35 ,7000,2500
Praha - Řepy,3+1,74 ,18000,6000
Bratislavská Praha - Hostivař,2+kk,45 ,14500,3000
Liberec - Rochlice u Liberce Liberecký kraj,1+kk,32 ,7500,3000
Mírová Milovice nad Labem Středočeský kraj,2+kk,33 ,8500,3500
Štítného Praha - Žižkov,2+kk,60 ,22000,3000
Praha - Libeň,1+kk,29 ,13500,2826
Ondrouškova Brno - Bystrc Jihomoravský kraj,1+1,35 ,10000,3860
Praha - Vinohrady,2+1,58 ,19000,3200
Praha - Háje,2+kk,44 ,14000,3000
Náchod - Staré Město nad Metují Královéhradecký kraj,3+1,74 ,12500,5000
Mášova Brno - Veveří Jihomoravský kraj,2+kk,56 ,15800,4900
Holice u Olomouce Olomoucký kraj,3+kk,70 ,12000,3000
Praha - Prosek,2+kk,38 ,15000,4500
K Mostku Praha - Řepy,1+1,33 ,10500,3000
Praha - Letňany,2+kk,45 ,15300,2700
Liberec - Rochlice u Liberce Liberecký kraj,1+kk,36 ,10500,3500
Bílkova Praha - Staré Město,3+1,125 ,38000,6140
Praha - Ruzyně,2+kk,42 ,18000,4000
Dělnická Praha - Holešovice,2+1,57 ,31752,10584
Družstevní Praha - Nusle,1+1,32 ,11500,3000
Na Žertvách Praha - Libeň,2+kk,64 ,21000,3900
Lipská Brno - Žabovřesky Jihomoravský kraj,2+1,53 ,13500,3000
Praha - Hodkovičky,Garsoniéra,20 ,12000,3000
Komenského Šestajovice u Prahy Středočeský kraj,2+kk,48 ,15000,3000
Ústí nad Labem - Dobětice Ústecký kraj,3+1,80 ,11000,3700
Praha - Dejvice,1+kk,30 ,8500,4000
Čapkova Říčany u Prahy Středočeský kraj,2+kk,49 ,10000,5000
Kralupy nad Vltavou - Lobeček Středočeský kraj,3+1,78 ,16500,4500
Praha - Vršovice,2+1,54 ,16000,3290
Na Výsledku II Praha - Nusle,3+kk,136 ,35000,10000
Praha - Uhříněves,1+kk,42 ,14000,2500
Nehvizdy Středočeský kraj,1+kk,37 ,12000,2000
Zlín Zlínský kraj,2+kk,54 ,14000,3500
Opava-Předměstí Moravskoslezský kraj,3+1,78 ,14500,4300
Zlín Zlínský kraj,3+kk,73 ,16000,3500
Raduň Moravskoslezský kraj,4+kk,80 ,3500,0
Frýdek-Místek - Místek Moravskoslezský kraj,2+1,70 ,9500,4500
Praha - Smíchov,Garsoniéra,15 ,9500,2500
Praha - Horní Měcholupy,3+kk,80 ,24000,5000
Ostrava - Výškovice u Ostravy Moravskoslezský kraj,1+1,37 ,8200,700
Slaný Středočeský kraj,1+1,38 ,11000,2500
